This is the data file for OSRIC™.  This consists of creatures and treasure from the core rulebook.
You can use this with some of the tools here that allow for data files to be input. You may only want to use 
this file if you want to customize your creations. You may have no electrum in your land or maybe you want to 
remove the chance of dinosaurs from appearing. You may want to add custom monsters and items. Anything is possible.

This is published under the Open Game License Version 1.0a (which can be found at http://www.wizardawn.com/rpg/lic_ogl.html)
and is in compliance with the OSRIC™ Open License (which can be found at http://www.wizardawn.com/rpg/lic_osric.html).

"OSRIC", "Osric" and "O.S.R.I.C." are trademarks of Matthew Finch and Stuart Marshall

Below are the codes used for the creatures' terrain types...

DG = Dungeon
PF = Forest
PH = Hills
PM = Mountains
PP = Plains
PS = Swamp
PD = Desert
FW = Freshwater
SW = Sea
CF = Snowy Forest
CH = Snowy Hills
CM = Snowy Mountains
CP = Snowy Plains
TF = Jungle/Tropics Forest
TH = Jungle/Tropics Hills
TM = Jungle/Tropics Mountains
TS = Jungle/Tropics Swamp

--BEGIN--
ACHAIERAI	PFXPHXPMXPSXTFXTHXTMXTS	14	1	Freq: Very Rare; #ENC: 1d8; SIZE: Large (16 ft tall); MOVE: 180 ft; AC: 8 or -1 (see page); HD: 40 hp (body), 15 hp (each leg); ATK: 3; DMG: 1d8/1d8/1d10; SA: None; SD: Poison cloud; MR: 35%; LAIR: None; INT: Average; AL: CE; XP: 2,750; TRS: 1d10x1,000 cp (5%), 1d12x1,000 sp (25%), 1d6x1,000 ep (25%), 1d8x1,000 gp (25%), 1d12 gems (15%), 1d8 jewelry (10%) and 3 magic items and 1 scroll (25%).; BOOK: OSRIC-259
VAMPIRE	CFXCHXCMXCPXDGXPDXPFXPHXPMXPPXPSXTFXTHXTMXTS	10	3	Freq: Rare; #ENC: 1d4; SIZE: Medium; MOVE: 120 ft or 180 ft flying (AA: level V); AC: 1; HD: 8+3; ATK: 1; DMG: 1d6+4; SA: See Page; SD: See Page; MR: See Page; LAIR: 25%; INT: Exceptional; AL: CE; XP: 3,810+12/hp; TRS: 1d20x1,000 sp (10%); 1d12x1,000 ep (10%); 1d10x1,000 gp (40%); 1d8x100 pp (35%); 3d10 gems (20%); 1d10 jewelry (10%); 3 magic items (30%).; BOOK: OSRIC-243
VELOCIRAPTOR	TMXTHXTFXTS	7	13	Freq: Common; #ENC: 4d4; SIZE: Large; MOVE: 150 ft; AC: 6; HD: 6; ATK: 1; DMG: 3d4; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 1,000+12/hp; TRS: None; BOOK: OSRIC-229
VILSTRAK	CHXCMXDGXPHXPMXTHXTM	0	3	Freq: Rare; #ENC: 2d10; SIZE: Medium; MOVE: 90 ft; AC: 2; HD: 1d6; ATK: 2; DMG: 1d4+1/1d4+1; SA: Surprise on 1-4; SD: None; MR: Standard; LAIR: 10%; INT: Low; AL: NE; XP: 5+1/hp; TRS: None carried. Lair: 2d6x1,000 cp (30%), 1d6x1,000 sp (30%), 1d6x1,000 ep (10%), 1d6 gems (30%), 1d3 jewelry (15%), 1 potion or scroll (10%).; BOOK: OSRIC-304
VOLT	CFXCHXCMXCPXDGXPDXPFXPHXPMXPPXPSXTFXTHXTMXTS	4	5	Freq: Uncommon; #ENC: 2d12; SIZE: Small; MOVE: 60 ft levitating (AA: level II); AC: 3; HD: 2+1; ATK: 1; DMG: 1d4; SA: See Page; SD: Immune to electricity and lightning; MR: Standard; LAIR: 10%; INT: Animal; AL: N; XP: 50+3/hp; TRS: None; BOOK: OSRIC-304
VULCHLING	CFXDGXPFXPMXPS	2	3	Freq: Rare; #ENC: 2d8; SIZE: Medium; MOVE: 60 ft, 30 ft flying (AA: level IV); AC: 7; HD: 1; ATK: 1 or 2; DMG: 1d4+1 or 1d4/1d4; SA: None; SD: None; MR: Standard; LAIR: 30%; INT: Low; AL: CE; XP: 10+1/hp; TRS: 3d6 each of cp, sp, ep (25%); 1d8 gp (25%).; BOOK: OSRIC-305
WALRUS	SW	7	5	Freq: Uncommon; #ENC: 3d6; SIZE: Large; MOVE: 60 ft, 180 ft swimming; AC: 5; HD: 6; ATK: 3; DMG: 1d6/1d6/2d12; SA: None; SD: None; MR: Standard; LAIR: 20%; INT: Animal; AL: N; XP: 160+6/hp; TRS: The ivory tusks of this animal can be sold for 1d4+1x100 gp on the market.; BOOK: OSRIC-257
WASP, GIANT	FWXPFXPHXPMXPPXPSXTFXTHXTMXTS	5	3	Freq: Rare; #ENC: 1d20; 1d20+20 in lair; SIZE: Medium; MOVE: 60 ft, 210 ft flying (AA: level V); AC: 4; HD: 4; ATK: 2 (bite/sting); DMG: 1d4/2d4; SA: Poison sting; SD: None; MR: Standard; LAIR: 25%; INT: Non-; AL: N; XP: 300+3/hp; TRS: 20d4 gems (50%).; BOOK: OSRIC-305
WEASEL, GIANT	DGXPPXPS	5	3	Freq: Rare; #ENC: 1d8; SIZE: Medium; MOVE: 150 ft; AC: 6; HD: 3+3; ATK: 1; DMG: 2d6; SA: See Page; SD: None; MR: Standard; LAIR: 10%; INT: Animal; AL: N; XP: 75+3/hp; TRS: Giant weasel pelts for 2d6x100 gp or more.; BOOK: OSRIC-257
WEASEL, HUGE	DGXPPXPS	3	5	Freq: Uncommon; #ENC: 2d6; SIZE: Small; MOVE: 150 ft; AC: 7; HD: 1+1; ATK: 3; DMG: 1d8; SA: See Page; SD: None; MR: Standard; LAIR: 10%; INT: Animal; AL: N; XP: 40+2/hp; TRS: Huge weasel pelts sell for 1d6x100 gp.; BOOK: OSRIC-257
WEREBEAR	CFXCHXCMXDGXPFXPHXPMXPS	9	3	Freq: Rare; #ENC: 1d4; SIZE: Large; MOVE: 90 ft; AC: 2; HD: 7+3; ATK: 3; DMG: 1d3/1d3/2d4; SA: Hug for 2d8; SD: Hit only by silver or magic weapons; MR: Standard; LAIR: 10%; INT: Exceptional; AL: CG; XP: 850+10/hp; TRS: 2d4x1,000 gp (40%), 1d6x100 pp (50%), 4d8 gems (55%), 1d12 jewelry (50%), 1d4 scrolls + 1 misc. magic + 1 potion (60%).; BOOK: OSRIC-232
WEREBOAR	CFXCHXCPXPDXPFXPHXPPXPSXTFXTHXTS	7	3	Freq: Rare; #ENC: 2d4; SIZE: Large; MOVE: 120 ft; AC: 4; HD: 5+2; ATK: 1; DMG: 2d6; SA: None; SD: Hit only by silver or magic weapons; MR: Standard; LAIR: 20%; INT: Average; AL: N; XP: 250+6/hp; TRS: 1d8x1,000 cp (50%), 1d6x1,000 sp (25%), 1d4x1,000 ep (25%), 1d3x1,000 gp (25%), 1d8 gems (30%), 1d4 jewelry (20%), sword, armour, or misc. wpn +2d4 potions (40%).; BOOK: OSRIC-232
WERERAT	CFXCHXCMXCPXDGXPDXPS	5	5	Freq: Uncommon; #ENC: 4d6; SIZE: Small to medium; MOVE: 120 ft; AC: 6; HD: 3+1; ATK: 1; DMG: 1d8 (sword); SA: Surprises on 1-4 in 6; SD: Hit only by silver or magic weapons; MR: Standard; LAIR: 30%; INT: Very; AL: LE; XP: 150+4/hp; TRS: 1d12x1,000 cp (20%), 1d6x1,000 sp (30%), 1d4x1,000 ep (10%), 1d6 gems (25%), 1d3 jewelry (25%), any 2 magic items (10%).; BOOK: OSRIC-232
WERETIGER	CFXCHXCMXCPXPFXPHXPMXPPXPSXTFXTHXTMXTS	8	1	Freq: Very Rare; #ENC: 1d6; SIZE: Large; MOVE: 120 ft; AC: 3; HD: 6+2; ATK: 3; DMG: 1d4/1d4/1d12; SA: Rake for 1d4+1/1d4+1; SD: Hit only by silver or magic weapons; MR: Standard; LAIR: 15%; INT: Average; AL: N; XP: 500+8/hp; TRS: 1d8x1,000 cp (10%), 1d12x1,000 sp (15%), 1d8x1,000 ep (15%), 1d6x1,000 gp (50%), 2d6 gems (50%), 1d6 jewelry (25%), any 2 magic item + 1 potion (15%).; BOOK: OSRIC-232
WEREWOLF	CFXCHXCMXCPXDGXPDXPFXPHXPMXPPXPSXTFXTHXTMXTS	6	13	Freq: Common; #ENC: 3d6; SIZE: Medium; MOVE: 150 ft; AC: 5; HD: 4+3; ATK: 1; DMG: 2d4; SA: Surprises on a 1-3 in 6; SD: Hit only by silver or magic weapons; MR: Standard; LAIR: 25%; INT: Average; AL: CE; XP: 200+5/hp; TRS: 1d8x1,000 cp (50%), 1d6x1,000 sp (25%), 1d4x1,000 ep (25%), 1d3x1,000 gp (25%), 1d8 gems (30%), 1d4 jewelry (20%), sword, armour, or misc. weapon (10%).; BOOK: OSRIC-232
WHALE	SW	17	13	Freq: Common; #ENC: 1d8; SIZE: Large; MOVE: 180 ft to 240 ft swimming; AC: 4; HD: 12 to 36; ATK: 1 bite or 1 tail; DMG: 5-15 d4 (bite), 1-5 d8 (tail); SA: None; SD: None; MR: Standard; LAIR: None; INT: Low; AL: N; XP: Varies; TRS: Whale ambergris from a single whale is worth 1d20x1,000gp if properly collected. Whale meat is worth 100gp per hit die of the whale. Additionally, there is a 1% chance each of fi nding cp, sp, ep, pp, gems, jewelry, and magic items within the stomach of a whale. Coins found will number 1d3x1,000 of the types found, gems and jewelry will number 1d20 if found, and magic items will number 1d4.; BOOK: OSRIC-257
WIGHT	CMXDGXPMXPSXTMXTS	6	5	Freq: Uncommon; #ENC: 2d8; SIZE: Medium; MOVE: 120 ft; AC: 5; HD: 4+3; ATK: 1 (claw); DMG: 1d4 + level drain; SA: Level drain; SD: Silver or magic weapon required to hit; spell immunities.; MR: Standard; LAIR: 70%; INT: Average; AL: LE; XP: 590+4/hp; TRS: 1d8x1,000 cp (50%); 1d6x1,000 sp (25%); 1d4x1,000 ep (25%); 1d3x1,000 gp (25%); 1d8 gems (30%); 1d4 jewelry (20%); 1 magic item (sword, armour, or miscellaneous magic) (10%).; BOOK: OSRIC-244
WILL-O-THE-WISP	CMXDGXPMXPSXSWXTMXTS	10	5	Freq: Uncommon; #ENC: 1d3; SIZE: Small; MOVE: 180 ft flying (AA: level VI); AC: -8; HD: 9; ATK: 1 electrical shock; DMG: 2d8; SA: Electrical shock; SD: Spell immunities; MR: Standard; LAIR: 50%; INT: Exceptional; AL: CE; XP: 1,400+12/hp; TRS: 1d3x1000 cp (20%); 1d4x1000 sp (25%); 1d4x1000 ep (25%); 1d4x1000 gp (30%); 1d6x100 pp (30%); 10d6 gems (55%); 5d6 jewelry (50%); 1d3 magic items (50%).; BOOK: OSRIC-305
WOLF	CFXCHXCMXCPXDGXPDXPFXPHXPMXPPXPSXTFXTHXTMXTS	4	13	Freq: Common; #ENC: 3d10; SIZE: Small; MOVE: 180 ft; AC: 7; HD: 2+2; ATK: 1; DMG: 1d4+1; SA: None; SD: None; MR: Standard; LAIR: 10%; INT: Semi-; AL: N; XP: 50+2/hp; TRS: None; BOOK: OSRIC-257
WOLF, DIRE	CFXCHXCMXCPXDGXPDXPFXPMXPPXPSXTFXTHXTMXTS	5	3	Freq: Rare; #ENC: 3d4; SIZE: Medium; MOVE: 180 ft; AC: 6; HD: 3+3; ATK: 1; DMG: 2d4; SA: None; SD: None; MR: Standard; LAIR: 10%; INT: Semi-; AL: N; XP: 75+3/hp; TRS: None; BOOK: OSRIC-257
WOLVERINE	CFXCHXCMXCPXDG	4	5	Freq: Uncommon; #ENC: 1; SIZE: Small; MOVE: 120 ft; AC: 5; HD: 3; ATK: 3; DMG: 1d4/1d4/1d4+1; SA: Musk, +4 to hit; SD: None; MR: Standard; LAIR: 15%; INT: Semi-; AL: NE; XP: 125+2/hp; TRS: None; BOOK: OSRIC-258
WOLVERINE, GIANT	CFXCHXCMXCPXDG	6	3	Freq: Rare; #ENC: 1; SIZE: Medium; MOVE: 150 ft; AC: 4; HD: 4+4; ATK: 3; DMG: 1d6/1d6/2d4; SA: Musk, +4 to hit; SD: None; MR: Standard; LAIR: 15%; INT: Semi-; AL: NE; XP: 235+4/hp; TRS: None; BOOK: OSRIC-258
WORG	CFXCHXCMXCPXDGXPDXPFXPMXPPXPSXTFXTHXTMXTS	6	3	Freq: Rare; #ENC: 3d4; SIZE: Large; MOVE: 180 ft; AC: 6; HD: 4+4; ATK: 1 bite; DMG: 2d4; SA: None; SD: None; MR: Standard; LAIR: 10%; INT: Low; AL: NE; XP: 75+3/hp; TRS: None; BOOK: OSRIC-258
WRAITH	CMXDGXPMXPSXTMXTS	7	5	Freq: Uncommon; #ENC: 2d6; SIZE: Medium; MOVE: 120 ft or 240 ft flying (AA: level IV); AC: 4; HD: 5+3; ATK: 1; DMG: 1d6 + level drain; SA: Level drain; SD: Only hit by silver or magic weapons; immune to certain spells.; MR: Standard; LAIR: 25%; INT: Very; AL: LE; XP: 550+6/hp; TRS: (in lair only) 1d10x1,000 cp (5%); 1d12x1,000 sp (25%); 1d6x1,000 ep (25%); 1d8x1,000 gp (25%); 1d12 gems (15%); 1d8 jewelry (10%); 3 magic items plus 1 scroll (25%).; BOOK: OSRIC-244
WYVERN	DGXPDXPFXPMXPPXPSXTFXTMXTS	9	5	Freq: Uncommon; #ENC: 1d6; SIZE: Large (30-40 ft long); MOVE: 60 ft, 240 ft flying (AA: level III); AC: 3; HD: 7+7; ATK: 2; DMG: 1d6/2d8; SA: Poison sting; SD: None; MR: Standard; LAIR: 30%; INT: Low; AL: NE; XP: 850+10/hp; TRS: (in lair only) 1d10x1,000 cp (5%); 1d12x1,000 sp (25%); 1d6x1,000 ep (25%); 1d8x1,000 gp (25%); 1d12 gems (15%); 1d8 jewelry (15%); 3 magic items plus 1 scroll (25%).; BOOK: OSRIC-305
XORN	CHXCMXDGXPHXPMXTHXTM	9	1	Freq: Very Rare; #ENC: 1d4; SIZE: Medium; MOVE: 90 ft; AC: -2; HD: 7+7; ATK: 3 claws, 1 bite; DMG: 1d3/1d3/1d3/6d4; SA: Surprises 1-5 on 1d6; SD: Immune to fire and cold. Half damage from electricity. Travel through stone.; MR: Standard; LAIR: 40%; INT: Average; AL: N; XP: 1,350+10/hp; TRS: 1d4x1,000 cp (25%), 1d8x1,000 sp (30%), 1d2x1,000 ep (25%), 2d6x1,000- gp (70%), 5d4 gems (50%), 1 misc. magic + 1 potion (60%).; BOOK: OSRIC-306
YETI	CMXDG	6	1	Freq: Very Rare; #ENC: 1d6; SIZE: Large (8 ft tall); MOVE: 150 ft; AC: 6; HD: 4+4; ATK: 2; DMG: 1d6/1d6; SA: See Page; SD: Impervious to cold; MR: Standard; LAIR: 10%; INT: Average; AL: N; XP: 435+5/hp; TRS: None carried. In lair: 1d6x1,000 cp (10%), 1d10x1,000 sp (35%), 1d6x1,000 ep (15%), 1d6x1,000 gp (65%), 1d10 gems (35%), 2d4 jewelry (30%), 2 random magic items + 2 potions (10%).; BOOK: OSRIC-306
ZOMBIE, JUJU	CMXCPXDGXPMXPPXPSXTMXTS	6	1	Freq: Very Rare; #ENC: 1d6; SIZE: Medium; MOVE: 90 ft; AC: 6; HD: 3+12; ATK: 1; DMG: 2d6+1; SA: See Page; SD: Can only be hit with magic weapons; MR: See Page; LAIR: None; INT: Low; AL: N (E); XP: 115+4/hp; TRS: None; BOOK: OSRIC-245
ZOMBIE, MONSTER	DGXPSXTS	7	1	Freq: Very Rare; #ENC: 1d6; SIZE: Large; MOVE: 90 ft; AC: 6; HD: 6; ATK: 1; DMG: 2d8; SA: None; SD: See Page; MR: Standard; LAIR: None; INT: Non-; AL: N; XP: 145+6/hp; TRS: None; BOOK: OSRIC-244
ZOMBIE, NORMAL	CFXCHXCMXCPXDGXPDXPFXPHXPMXPPXPSXTFXTHXTMXTS	3	3	Freq: Rare; #ENC: 3d8; SIZE: Medium; MOVE: 60 ft; AC: 8; HD: 2; ATK: 1; DMG: 1d8; SA: None; SD: See Page; MR: Standard; LAIR: None; INT: Non-; AL: N; XP: 30+1/hp; TRS: None; BOOK: OSRIC-244
--END--
acid spray
bolt, crossbow
bridge, collapsing
bridge, illusory 
caltrops drop from ceiling
ceiling block drops behind players
ceiling blocks drop in front of and behind players
ceiling block drops in front of players
ceiling block drops on players
ceiling block seals players in room or area
elevator room
elevator room, deactivates for 24 hours
elevator room, one way
falling door
flame jets
flooding room
gas, blinding
gas, fear
gas, flammable
gas, sleep
gas, slowing
greased chute
lightning bolt
log trap, swinging
obscuring fog
oil-filled pit with dropping lit torch
pit trap triggered by false door
pit with dropping ceiling block
pit with locking trap door
pit, 10 ft
poisoned bolt, crossbow
poisoned caltrops
poisoned spear, ballista
poisoned spike pit
portcullis drops behind players
portcullises drop in front of and behind players
portcullis drops in front of players
rolling stone ball, height and width of corridor
scything blade, ankle-high
scything blade, neck-high
sliding room changes facing or location
spear, ballista
spiked log trap
spiked pit
spring-loaded pile-driver disguised as a door
stairs fold flat into a sliding chute
stairs collapse
teleporter
trip wire
wire, neck high
--END--
ashes
badly dented helmet
bent iron bar
bits of hair or fur
blunted javelin head
bones
broken arrow
broken bottle
corroded chain
cobwebs
bent copper coin
cracks in ceiling
cracks in floor
cracks in wall
cracked flask
cracked hammer
head
dagger hilt
dripping water
dried blood
dry leaves
twigs 
dung
dust
food
fungi
guano
leather boot
lantern
mold
pick handle
rope
pottery shards
rags
rats
rubble
sack
scattered teeth or fang
scratches on wall
slime on ceiling
slime on floor
slime on wall
spike
sticks
strap
straw
stones
sword hilt
torch stub
water puddle
wax drippings
wax blob
candle stub
wood
altar
armchair
armoire
bag
barrel
bed
bench
blanket
box
brazier
bucket
buffet
bunks
barrel
cabinet
candelabrum
carpet
cask
cauldron
chandelier
charcoal
kettle
loom
mat
mattress
mural
oven
pail
painting
pallet
pans
pedestal
pegs
pillow
pots
quilt
rug
rushes
sack
sconce
screen
sheet
shelf
chair
chest
chest of drawers
coal
couch
crate
cupboard
cushion
desk
fireplace with wood
fountain
grindstone
hammock
hamper
hogshead
idol
shrine
sideboard
sofa
spinning wheel
staff
stand
statue
stool
table
tapestry
throne
trunk
tub
utensil
urn
wall basin
wardrobe
wood billets
workbench
--END--
Locked Chest
Locked Huge Chest
Locked Iron Trunk
Loose
Bag
Sack
Coffer
Chest
Huge Chest
Hidden in Wall
Hidden under Floor
Hidden
Iron Trunk
--END--
Potion	268	1
Ring	70	2
Rod, Staff or Wand	70	3
Banded Mail	10	4
Chain Mail	30	4
Elfin Chain Mail	1	4
Leather	20	4
Plate Mail	30	4
Ring Mail	10	4
Splint Mail	20	4
Scale Mail	20	4
Studded Leather	10	4
Shield	50	4
Scroll (Protection)	70	5
Scroll (Cursed)	10	0
Scroll (Cleric)	27	16
Scroll (Druid)	18	17
Scroll (Illusionist)	18	18
Scroll (Magic User)	117	19
Common Magic Item	100	6
Less Common Magic Item	55	7
Uncommon Magic Item	35	8
Rare Magic Item	10	9
Arrow	28	4
Axe	19	4
Bolt	9	4
Bow	5	4
Crossbow	5	4
Dagger	37	4
Flail	9	4
Hammer	9	4
Javelin	9	4
Mace	19	4
Military Pick	5	4
Morning Star	5	4
Pole Arm	5	4
Scimitar	9	4
Spear	9	4
Trident	5	4
Sling	5	4
Magic Sword	100	10
Cursed Item	10	11
Magic Weapon	100	12
Gem	490	13
Gems (1d4)	280	13
Gems (1d6)	190	13
Gems (1d8)	130	13
Gems (1d10)	90	13
Gems (1d12)	20	13
Amulet	40	14
Anklet	40	14
Belt	40	14
Box	40	14
Bracelet	40	14
Brooch	40	14
Buckle	40	14
Chain	40	14
Chalice	40	14
Choker	40	14
Clasp	40	14
Comb	40	14
Coronet	40	14
Crown	40	14
Diadem	40	14
Earring	40	14
Goblet	40	14
Idol	40	14
Knife	40	14
Locket	40	14
Medal	40	14
Medallion	40	14
Necklace	40	14
Orb	40	14
Pendant	40	14
Pin	40	14
Ring	40	14
Sceptre	40	14
Seal	40	14
Statuette	40	14
Tiara	40	14
Loot	500	15
--END--
Animal Control	1
Clairaudience	1
Clairvoyance	1
Climbing	1
Cursed	1
Delusion	1
Diminution	1
Dragon Control	1
ESP	1
Extra-Healing	1
Fire Resistance	1
Flying	1
Gaseous Form	1
Giant Control	1
Giant Strength	1
Growth	1
Healing	1
Heroism	1
Human Control	1
Invisibility	1
Invulnerability 	1
Levitation	1
Longevity 	1
Oil of Etherealness	1
Oil of Slipperiness	1
Philtre of Love	1
Philtre of Persuasiveness	1
Plant Control	1
Polymorph	1
Speed	1
Super-Heroism	1
Sweet Water	1
Treasure Finding	1
Undead Control	1
Water Breathing	1
--END--
Charisma	4
Feather Falling	8
Fire Resistance	4
Free Action	4
Genie Summoning	4
Invisibility	4
Protection	4
Regeneration	1
Spell Storing	3
Spell Turning	4
Swimming	4
Telekinesis	2
Three Wishes	2
Warmth	4
Water Walking	4
Wizardry	4
--END--
Rod of Absorption	4
Rod of Cancellation	8
Rod of Captivation	1
Rod of Lordly Might	2
Rod of Resurrection	1
Rod of Rulership	2
Rod of Striking	2
Staff of Compulsion	2
Staff of Healing	2
Staff of Power	1
Staff of the Serpent	3
Staff of Withering	3
Staff of Wizardry	1
Wand of Detecting Magic	4
Wand of Detecting Minerals & Metals	4
Wand of Detecting Traps & Secret Doors	4
Wand of Enemy Detection	4
Wand of Fear	2
Wand of Fire	2
Wand of Ice	2
Wand of Light	2
Wand of Illusion	2
Wand of Lightning	2
Wand of Magic Missiles	4
Wand of Negation	4
Wand of Paralysation	4
Wand of Polymorphing	4
Wand of Summoning	2
Wand of Wonder	2
--END--
(+1)	30
(+2)	15
(+3)	3
(+4)	2
(+5)	1
(Cursed -2)	3
--END--
Acid Warding	2
Demon Warding	2
Devil Warding	2
Elemental Warding	2
Lycanthrope Warding	2
Magic Warding	3
Petrifaction Warding	2
Polymorph Warding	2
Undead Warding	2
--END--
Incense of Meditation (1d4+1 cones)	1
Javelin of the Raptor	1
Thunder Spear	1
Boots of Elvenkind	1
Candle of Invocation	1
Dust of Appearance	1
Dust of Disappearance	1
Rope of Climbing	1
Scarab of Protection	1
Slippers of Spider Climbing	1
Strand of Prayer Beads	1
Amulet of Natural Armour	1
Blessed Book	1
Brooch of Shielding	1
Hat of Disguise	1
Horn of Valhalla	1
Periapt of Proof Against Poison	1
Phylactery of Faithfulness	1
Robe of Blending	1
Pipes of the Sewers	1
Restorative Ointment	1
Robe of Useful Items	1
Vest of Escape	1
Cloak of Elvenkind	1
Wings of Flying	1
Cloak of Resistance	1
Feather Token	1
Figurines of Wondrous Power	1
Bracers of Armour	1
--END--
Arrow of Direction	1
Brazier of Commanding Fire Elementals	1
Cape of the Mountebank	1
Cloak of the Manta Ray	1
Decanter of Endless Water	1
Dust of Dryness	1
Elixir of Swimming	1
Gloves of Arrow Snaring	1
Gloves of Swimming and Climbing	1
Goggles of Night	1
Horseshoes of Speed	1
Necklace of Adaptation	1
Orb of Storms	1
Periapt of Health	1
Pipes of Haunting	1
Ring Gates	1
Robe of Bones	1
Unguent of Timelessness	1
Universal Solvent	1
Amulet of Proof Against Detection or Location	1
Boots of Speed	1
Boots of Striding and Springing	1
Bracers of Archery, Lesser	1
Candle of Truth	1
Cloak of Displacement, Minor	1
Cloak of the Bat	1
Dark Skull	1
Dust of Tracelessness	1
Elixir of Truth	1
Elixir of Vision	1
Glove of Storing	1
Horn of the Tritons	1
Necklace of Fireballs	1
Periapt of Wound Closure	1
Phylactery of Undead Turning	1
Rope of Entanglement	1
Stone Horse	1
Stone of Alarm	1
Sustaining Spoon	1
Wind Fan	1
Bag of Holding	1
Boots of Levitation	1
Bottle of Air	1
Broom of Flying	1
Crystal Ball	1
Elixir of Fire Breath	1
Elixir of Hiding	1
Handy Haversack	1
Harp of Charming	1
Helm of Comprehend Languages and Read Magic	1
Helm of Underwater Action	1
Horn of Fog	1
--END--
Ahmek’s Copious Coin Purse	1
Alchemy Jug	1
Amulet of Health	1
Amulet of the Planes	1
Apparatus of the Lobster	1
Bag of Tricks	1
Bead of Force	1
Blemish Blotter	1
Boots of the Winterlands	1
Bowl of Commanding Water Elementals	1
Bracelet of Friends	1
Bracers of Archery, Greater	1
Carpet of Flying	1
Censer of Controlling Air Elementals	1
Chime of Interruption	1
Chime of Opening	1
Circlet of Blasting, Minor	1
Circlet of Persuasion	1
Cloak of Etherealness	1
Cloak of Arachnida	1
Cloak of Charisma	1
Cloak of Displacement, Major	1
Cube of Force	1
Cube of Frost Resistance	1
Cubic Gate	1
Deck of Illusion	1
Dimensional Shackles	1
Drums of Panic	1
Dust of Illusion	1
Efficient Quiver	1
Elemental Gem	1
Eyes of the Eagle	1
Gauntlets of Ogre Power	1
Gauntlets of Rust	1
Gloves of Dexterity	1
Goggles of Minute Seeing	1
Headband of Intellect	1
Helm of Telepathy	1
Horn of Goodness or Evil	1
Horseshoes of the Zephyr	1
Instant Fortress	1
Iron Bands of Binding	1
Iron Flask	1
Lantern of Revealing	1
Mantle of Faith	1
Mantle of Magic Resistance	1
Marvellous Pigments (1d4 pots)	1
Mask of the Skull	1
Medallion of Thoughts	1
Pearl of Power	1
Pearl of the Sirines	1
Periapt of Wisdom	1
Pipes of Pain	1
Pipes of Sounding	1
Plentiful Vessel	1
Robe of Stars	1
Scabbard of Keen Edges	1
Scarab of Golem Bane	1
Silversheen	1
Sovereign Glue	1
Stone of Controlling Earth Elementals	1
Stone of Good Luck	1
Stone Salve	1
Vestment, Druid’s	1
Well of Many Worlds	1
--END--
Afreeti Bottle	1
Amulet of Life Protection	1
Amulet of Mighty Fists	1
Belt of Dwarfkind	1
Belt of Giant Strength	1
Boat Folding	1
Boots of Teleportation	1
Boots, Winged	1
Brooch of Instigation	1
Circlet of Blasting, Major	1
Eversmoking Bottle	1
Eyes of Charming	1
Eyes of Doom	1
Eyes of Petrifaction	1
Gem of Brightness	1
Gem of Seeing	1
Golem Manual	1
Helm of Brilliance	1
Helm of Teleportation	1
Horn of Blasting	1
Horn of Blasting, Greater	1
Ioun Stones	1
Lyre of Building	1
Manual of Bodily Health	1
Manual of Gainful Exercise	1
Manual of Quickness of Action	1
Mattock of the Titans	1
Maul of the Titans	1
Mirror of Life Trapping	1
Mirror of Mental Prowess	1
Mirror of Opposition	1
Oil of Famishing	1
Portable Hole	1
Robe of Eyes	1
Robe of Scintillating Colours	1
Robe of the Archmagi	1
Sagacious Volume	1
Shrouds of Disintegration	1
Tome of Clear Thought	1
Tome of Leadership and Influence	1
Tome of Understanding	1
--END--
Bleeding Sword	1
Dancing Sword	5
Defender	10
Dragonbane	10
Flaming Blade	10
Frost Brand	5
Giantbane	10
Holy Sword	5
Keenblade	2
Luck Blade	10
Magebane	5
Nine Lives Stealer	5
Trollbane	5
Vampire Blade	5
Vorpal Blade	1
Werebane	5
Wyrmbane	4
Unusual Sword	1
--END--
Amulet of Inescapable Location	5
Armour of Arrow Attraction	2
Armour of Rage	3
Bag of Devouring	3
Boots of Dancing	4
Bracers of Defencelessness	5
Broom of Animated Attack	1
Cloak of Poisonousness	1
Crystal Hypnosis Ball	1
Dust of Sneezing and Choking	2
Flask of Curses	6
Gauntlets of Fumbling	5
Helm of Opposite Alignment	1
Incense of Obsession	5
Mace of Blood	5
Medallion of Thought Projection	3
Necklace of Strangulation	1
Net of Snaring	2
Periapt of Foul Rotting	3
Potion of Poison	5
Ring of Clumsiness	10
Robe of Powerlessness	2
Robe of Vermin	5
Scarab of Death	1
Spear, Cursed Backbiter	5
Stone of Weight (Loadstone)	5
Sword -2, Cursed	5
Sword of the Berserker	3
Vacuous Grimoire	1
--END--
Arrow of Slaying	1
Axe of Hurling	1
Crossbow of Accuracy	1
Crossbow of Range	1
Crossbow of Speed	1
Dagger of Venom	1
Hammer of the Dwarfs	1
Holy Mace	1
Sling of the Halfling	1
Trident/Fork	1
--END--
Banded Eye (10gp)	20
Moss Agate (10gp)	20
Azurite (10gp)	20
Blue Quartz (10gp)	20
Hematite (10gp)	20
Lapis Lazuli (10gp)	20
Malachite (10gp)	20
Obsidian (10gp)	20
Rhodochrosite (10gp)	20
Tiger Eye (10gp)	20
Turquoise (10gp)	20
Freshwater Pearl (10gp)	20
Bloodstone (50gp)	16
